sample_name,path,scenario,difficulty,source,map_id,success,expansions,runtime_ms,path_length,split
sample_000020.npz,data/benchmark/rs_root_hard_v2/dev/sample_000020.npz,flange,hard,rs_root_hard_v2_synth,flange_dev_s7_q003_t0004,0,20000.0,5002.500604139641,nan,
sample_000021.npz,data/benchmark/rs_root_hard_v2/dev/sample_000021.npz,flange,hard,rs_root_hard_v2_synth,flange_dev_s7_q004_t0005,0,0.0,0.0,nan,
sample_000022.npz,data/benchmark/rs_root_hard_v2/dev/sample_000022.npz,flange,hard,rs_root_hard_v2_synth,flange_dev_s7_q005_t0006,0,20000.0,5027.9336059466,nan,
sample_000023.npz,data/benchmark/rs_root_hard_v2/dev/sample_000023.npz,narrow_passage,hard,rs_root_hard_v2_synth,narrow_passage_dev_s7_q000_t0001,0,20000.0,4969.629460945725,nan,
sample_000024.npz,data/benchmark/rs_root_hard_v2/dev/sample_000024.npz,narrow_passage,very_hard,rs_root_hard_v2_synth,narrow_passage_dev_s7_q001_t0002,1,3445.0,824.3141721468419,26.390463376065256,calib_train
sample_000025.npz,data/benchmark/rs_root_hard_v2/dev/sample_000025.npz,narrow_passage,hard,rs_root_hard_v2_synth,narrow_passage_dev_s7_q002_t0003,1,624.0,149.66557710431516,13.824657501260237,calib_train
sample_000026.npz,data/benchmark/rs_root_hard_v2/dev/sample_000026.npz,narrow_passage,hard,rs_root_hard_v2_synth,narrow_passage_dev_s7_q003_t0004,1,3421.0,829.6405870933086,28.78976391217766,calib_val
sample_000027.npz,data/benchmark/rs_root_hard_v2/dev/sample_000027.npz,narrow_passage,very_hard,rs_root_hard_v2_synth,narrow_passage_dev_s7_q004_t0005,1,2118.0,546.9915319699794,20.04392057985025,calib_val
sample_000028.npz,data/benchmark/rs_root_hard_v2/dev/sample_000028.npz,narrow_passage,hard,rs_root_hard_v2_synth,narrow_passage_dev_s7_q005_t0006,0,20000.0,4917.750578839332,nan,
sample_000029.npz,data/benchmark/rs_root_hard_v2/dev/sample_000029.npz,maze,hard,rs_root_hard_v2_synth,maze_dev_s7_q000_t0001,0,20000.0,5115.870373090729,nan,
sample_000030.npz,data/benchmark/rs_root_hard_v2/dev/sample_000030.npz,maze,hard,rs_root_hard_v2_synth,maze_dev_s7_q001_t0002,1,14178.0,3695.575554156676,54.14816906117416,calib_val
sample_000031.npz,data/benchmark/rs_root_hard_v2/dev/sample_000031.npz,maze,hard,rs_root_hard_v2_synth,maze_dev_s7_q002_t0003,0,20000.0,5179.7669641673565,nan,
sample_000032.npz,data/benchmark/rs_root_hard_v2/dev/sample_000032.npz,maze,hard,rs_root_hard_v2_synth,maze_dev_s7_q003_t0004,1,12261.0,3181.153540033847,58.418655117407184,calib_val
sample_000033.npz,data/benchmark/rs_root_hard_v2/dev/sample_000033.npz,maze,hard,rs_root_hard_v2_synth,maze_dev_s7_q004_t0005,1,17061.0,4430.129708023742,54.219108632978546,calib_val
sample_000034.npz,data/benchmark/rs_root_hard_v2/dev/sample_000034.npz,maze,hard,rs_root_hard_v2_synth,maze_dev_s7_q005_t0006,1,18982.0,4926.256781211123,52.45251635176394,calib_train
sample_000035.npz,data/benchmark/rs_root_hard_v2/dev/sample_000035.npz,deadend_labyrinth,very_hard,rs_root_hard_v2_synth,deadend_labyrinth_dev_s7_q000_t0001,1,800.0,204.25404398702085,19.912429465936103,calib_val
sample_000036.npz,data/benchmark/rs_root_hard_v2/dev/sample_000036.npz,deadend_labyrinth,very_hard,rs_root_hard_v2_synth,deadend_labyrinth_dev_s7_q001_t0002,1,6466.0,1467.9659879766405,29.388494417671424,calib_val
sample_000037.npz,data/benchmark/rs_root_hard_v2/dev/sample_000037.npz,deadend_labyrinth,very_hard,rs_root_hard_v2_synth,deadend_labyrinth_dev_s7_q002_t0003,0,0.0,0.0,nan,
sample_000038.npz,data/benchmark/rs_root_hard_v2/dev/sample_000038.npz,deadend_labyrinth,very_hard,rs_root_hard_v2_synth,deadend_labyrinth_dev_s7_q003_t0004,1,3429.0,876.6683738213032,31.800635743119475,calib_val
sample_000039.npz,data/benchmark/rs_root_hard_v2/dev/sample_000039.npz,deadend_labyrinth,very_hard,rs_root_hard_v2_synth,deadend_labyrinth_dev_s7_q004_t0005,1,3935.0,931.3308228738606,31.79115724150787,calib_val
sample_000040.npz,data/benchmark/rs_root_hard_v2/dev/sample_000040.npz,deadend_labyrinth,very_hard,rs_root_hard_v2_synth,deadend_labyrinth_dev_s7_q005_t0006,1,5306.0,1340.1788750197738,34.19744242782959,calib_val
